scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
17385,Clerodendrum trichotomum Thunb.,누룬나무,Verbenaceae,마편초과,Clerodendrum,누리장나무속,trichotomum,,자생종
17385,Clerodendrum trichotomum Thunb.,누르나무,Verbenaceae,마편초과,Clerodendrum,누리장나무속,trichotomum,,자생종
6865,Chrysosplenium flaviflorum Ohwi,누른괭이눈,Saxifragaceae,범의귀과,Chrysosplenium,괭이눈속,flaviflorum,,자생종
18359,Orostachys spinosus (L.) C.A.Mey.,누른꽃바위솔(중),Crassulaceae,돌나물과,Orostachys,바위솔속,spinosus,,자생종
8657,Allium condensatum Turcz.,누른꽃염,Liliaceae,백합과,Allium,부추속,condensatum,,자생종
7192,Alangium platanifolium var. trilobum (Miq.) Ohwi,누른대나무,Alangiaceae,박쥐나무과,Alangium,박쥐나무속,platanifolium,trilobum,자생종
10090,Bidens biternata (Lour.) Merr. & Sherff ex Sherff,누른독개비바눌,Compositae,국화과,Bidens,도깨비바늘속,biternata,,자생종
15236,Iris minutiaurea Makino,누른붓꽃,Iridaceae,붓꽃과,Iris,붓꽃속,minutiaurea,,자생종
17439,Ipomoea batatas (L.) Lam.,누른살고구마,Convolvulaceae,메꽃과,Ipomoea,미국나팔꽃속,batatas,,자생종
10315,Filifolium sibiricum (L.) Kitam.,누른시베리아쑥,Compositae,국화과,Filifolium,실쑥속,sibiricum,,자생종
6256,Cypripedium calceolus L.,누른요강꽃,Orchidaceae,난초과,Cypripedium,복주머니란속,calceolus,,자생종
8806,Polygonatum cryptanthum H.Lev. & Vaniot,누른용둥굴레,Liliaceae,백합과,Polygonatum,둥굴레속,cryptanthum,,자생종
6723,Clematis koreana Kom.,누른종덜굴,Ranunculaceae,미나리아재비과,Clematis,으아리속,koreana,,자생종
19183,Clematis chiisanensis Nakai,누른종덩굴,Ranunculaceae,미나리아재비과,Clematis,으아리속,chiisanensis,,자생종
6723,Clematis koreana Kom.,누른종덩굴,Ranunculaceae,미나리아재비과,Clematis,으아리속,koreana,,자생종
3616,Dryopteris chinensis (Baker) Koidz.,누른털고사리,Dryopteridaceae,면마과,Dryopteris,관중속,chinensis,,자생종
19556,Lilium tsingtauense f. flavum (Wilson) T.B.Lee,누른하늘말나리,Liliaceae,백합과,Lilium,백합속,tsingtauense,flavum,자생종
13503,Viola brevistipulata var. minor Nakai,누름꽃오랑캐,Violaceae,제비꽃과,Viola,제비꽃속,brevistipulata,minor,자생종
8248,Pleurospermum camtschaticum Hoffm.,누리대,Umbelliferae,산형과,Pleurospermum,누룩치속,camtschaticum,,자생종
17385,Clerodendrum trichotomum Thunb.,누리장나무,Verbenaceae,마편초과,Clerodendrum,누리장나무속,trichotomum,,자생종
22147,Caryopteris divaricata (Siebold & Zucc.) Maxim.,누린내풀,Verbenaceae,마편초과,Caryopteris,층꽃나무속,divaricata,,자생종
26806,Caryopteris divaricata 'Snow Fairy',누린내풀 '스노우 페어리',Verbenaceae,마편초과,Caryopteris,층꽃나무속,divaricata,,재배품종
30096,Ilex crenata var. nummularia Yatabe,누물라리아꽝꽝,Aquifoliaceae,감탕나무과,Ilex,감탕나무속,,,재배품종
31026,Lysimachia nummularia L.,누물라리아리시마키아,Primulaceae,앵초과,Lysimachia,까치수염속,nummularia,,재배품종
29201,Helianthemum nummularium Mill.,누물라리움헬리안테뭄,Cistaceae,시스투스과,Helianthemum,헬리안테뭄속,nummularium,,재배품종
32300,Pilea nummularifolia Griseb.,누물라리폴리아필레아,Urticaceae,쐐기풀과,Pilea,물통이속,nummularifolia,,재배품종
32824,Saponaria ocymoides L.,누운 백일홍,Caryophyllaceae,석죽과,Saponaria,비누풀속,ocymoides,,재배품종
10194,Minuartia macrocarpa var. koreana (Nakai) H. Hara,누운개미자리,Caryophyllaceae,석죽과,Minuartia,나도개미자리속,macrocarpa,koreana,자생종
14914,Cephalotaxus harringtonia var. nana (Nakai) Rehder,누운개비자나무,Cephalotaxaceae,개비자나무과,Cephalotaxus,개비자나무속,harringtonia,nana,자생종
16839,Salix graciliglans Nakai,누운갯버들,Salicaceae,버드나무과,Salix,버드나무속,graciliglans,,자생종
22555,Agrostis divaricatissima Mez,누운겨이삭,Gramineae,벼과,Agrostis,겨이삭속,divaricatissima,,자생종
14260,Agrostis stolonifera L.,누운겨이삭,Gramineae,벼과,Agrostis,겨이삭속,stolonifera,,자생종
24782,Crepidomanes birmanicum (Bedd.) K.Iwats.,누운괴불이끼,Hymenophyllaceae,처녀이끼과,Crepidomanes,괴불이끼속,birmanicum,,자생종
14525,Isachne nipponensis Ohwi,누운기장대풀,Gramineae,벼과,Isachne,기장대풀속,nipponensis,,자생종
15629,Ribes triste Pall.,누운까치밥나무,Saxifragaceae,범의귀과,Ribes,까치밥나무속,triste,,자생종
9751,Veronica tenella All.,누운꼬리풀,Scrophulariaceae,현삼과,Veronica,개불알풀속,tenella,,자생종
13389,Potentilla egedei var. groenlandica (Tratt.) Polunin,누운딱지꽃,Rosaceae,장미과,Potentilla,양지꽃속,egedei,groenlandica,자생종
34336,Euphorbia prostrata Aiton,누운땅빈대,Euphorbiaceae,대극과,Euphorbia,대극속,prostrata,,자생종
16829,Salix divaricata var. metaformosa (Nakai) Kitag.,누운멧버들,Salicaceae,버드나무과,Salix,버드나무속,divaricata,metaformosa,자생종
14170,Ranunculus repens L.,누운바구지,Ranunculaceae,미나리아재비과,Ranunculus,미나리아재비속,repens,,자생종
5927,Juncus wallichianus J.Gay ex Laharpe,누운비녀골풀,Juncaceae,골풀과,Juncus,골풀속,wallichianus,,자생종
16829,Salix divaricata var. metaformosa (Nakai) Kitag.,누운산버들,Salicaceae,버드나무과,Salix,버드나무속,divaricata,metaformosa,자생종
14525,Isachne nipponensis Ohwi,누운애기울미,Gramineae,벼과,Isachne,기장대풀속,nipponensis,,자생종
13389,Potentilla egedei var. groenlandica (Tratt.) Polunin,누운양지꽃,Rosaceae,장미과,Potentilla,양지꽃속,egedei,groenlandica,자생종
13527,Viola epipsila Ledeb.,누운오랑캐,Violaceae,제비꽃과,Viola,제비꽃속,epipsila,,자생종
14978,Pinus pumila (Pall.) Regel,누운잣나무,Pinaceae,소나무과,Pinus,소나무속,pumila,,자생종
13527,Viola epipsila Ledeb.,누운제비꽃,Violaceae,제비꽃과,Viola,제비꽃속,epipsila,,자생종
9499,Mazus miquelii Makino,누운주름잎,Scrophulariaceae,현삼과,Mazus,주름잎속,miquelii,,자생종
15026,Thuja koraiensis Nakai,누운측백,Cupressaceae,측백나무과,Thuja,눈측백속,koraiensis,,자생종
15026,Thuja koraiensis Nakai,누운측백나무,Cupressaceae,측백나무과,Thuja,눈측백속,koraiensis,,자생종
14039,Plantago depressa Willd.,누운털질경이,Plantaginaceae,질경이과,Plantago,질경이속,depressa,,자생종
15049,Juniperus chinensis var. sargentii A.Henry,누운향나무,Cupressaceae,측백나무과,Juniperus,향나무속,chinensis,sargentii,자생종
